/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 11:37:34,493 - INFO - processing 19 countries: ['Angola', 'Australia', 'Brazil', 'Canada', 'Denmark', 'Germany', 'India', 'Iraq', 'Malaysia', 'Mozambique', 'New Zealand', 'Norway', 'Philippines', 'Singapore', 'South Africa', 'Switzerland', 'Ukraine', 'Venezuela', 'Zimbabwe']
2025-11-16 11:37:34,493 - INFO - year range: 2017 to 2023
2025-11-16 11:37:34,493 - INFO - keywords: ['corruption', 'bribery', '"money laundering"', 'fraud', 'embezzlement', 'scandal']
2025-11-16 11:37:34,493 - INFO - fetching news articles...
2025-11-16 11:37:34,494 - INFO - using gdelt api for Angola 2017
2025-11-16 11:37:34,494 - INFO - fetching articles for Angola (2017-01-01 to 2017-03-31)
2025-11-16 11:37:35,599 - INFO - fetched 100 articles for Angola
2025-11-16 11:37:37,603 - INFO - fetching articles for Angola (2017-04-01 to 2017-06-30)
2025-11-16 11:37:38,572 - INFO - fetched 100 articles for Angola
2025-11-16 11:37:40,579 - INFO - fetching articles for Angola (2017-07-01 to 2017-09-30)
2025-11-16 11:37:41,444 - INFO - fetched 100 articles for Angola
2025-11-16 11:37:43,450 - INFO - fetching articles for Angola (2017-10-01 to 2017-12-31)
2025-11-16 11:37:44,341 - INFO - fetched 100 articles for Angola
2025-11-16 11:37:46,349 - INFO - ✓ completed Angola 2017
2025-11-16 11:37:46,349 - INFO - using gdelt api for Angola 2018
2025-11-16 11:37:46,349 - INFO - fetching articles for Angola (2018-01-01 to 2018-03-31)
2025-11-16 11:37:47,727 - INFO - fetched 100 articles for Angola
2025-11-16 11:37:49,733 - INFO - fetching articles for Angola (2018-04-01 to 2018-06-30)
2025-11-16 11:37:51,197 - INFO - fetched 100 articles for Angola
2025-11-16 11:37:53,204 - INFO - fetching articles for Angola (2018-07-01 to 2018-09-30)
2025-11-16 11:37:55,104 - INFO - fetched 100 articles for Angola
2025-11-16 11:37:57,125 - INFO - fetching articles for Angola (2018-10-01 to 2018-12-31)
2025-11-16 11:37:58,081 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:00,086 - INFO - ✓ completed Angola 2018
2025-11-16 11:38:00,086 - INFO - using gdelt api for Angola 2019
2025-11-16 11:38:00,086 - INFO - fetching articles for Angola (2019-01-01 to 2019-03-31)
2025-11-16 11:38:01,384 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:03,388 - INFO - fetching articles for Angola (2019-04-01 to 2019-06-30)
2025-11-16 11:38:04,773 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:06,779 - INFO - fetching articles for Angola (2019-07-01 to 2019-09-30)
2025-11-16 11:38:07,967 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:09,973 - INFO - fetching articles for Angola (2019-10-01 to 2019-12-31)
2025-11-16 11:38:11,649 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:13,656 - INFO - ✓ completed Angola 2019
2025-11-16 11:38:13,656 - INFO - using gdelt api for Angola 2020
2025-11-16 11:38:13,656 - INFO - fetching articles for Angola (2020-01-01 to 2020-03-31)
2025-11-16 11:38:14,802 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:16,809 - INFO - fetching articles for Angola (2020-04-01 to 2020-06-30)
2025-11-16 11:38:17,935 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:19,941 - INFO - fetching articles for Angola (2020-07-01 to 2020-09-30)
2025-11-16 11:38:21,406 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:23,414 - INFO - fetching articles for Angola (2020-10-01 to 2020-12-31)
2025-11-16 11:38:25,281 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:27,289 - INFO - ✓ completed Angola 2020
2025-11-16 11:38:27,289 - INFO - using gdelt api for Angola 2021
2025-11-16 11:38:27,289 - INFO - fetching articles for Angola (2021-01-01 to 2021-03-31)
2025-11-16 11:38:28,422 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:30,428 - INFO - fetching articles for Angola (2021-04-01 to 2021-06-30)
2025-11-16 11:38:31,702 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:33,712 - INFO - fetching articles for Angola (2021-07-01 to 2021-09-30)
2025-11-16 11:38:34,923 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:36,933 - INFO - fetching articles for Angola (2021-10-01 to 2021-12-31)
2025-11-16 11:38:37,951 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:39,960 - INFO - ✓ completed Angola 2021
2025-11-16 11:38:39,960 - INFO - using gdelt api for Angola 2022
2025-11-16 11:38:39,961 - INFO - fetching articles for Angola (2022-01-01 to 2022-03-31)
2025-11-16 11:38:40,963 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:42,966 - INFO - fetching articles for Angola (2022-04-01 to 2022-06-30)
2025-11-16 11:38:44,185 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:46,190 - INFO - fetching articles for Angola (2022-07-01 to 2022-09-30)
2025-11-16 11:38:47,305 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:49,315 - INFO - fetching articles for Angola (2022-10-01 to 2022-12-31)
2025-11-16 11:38:50,497 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:52,506 - INFO - ✓ completed Angola 2022
2025-11-16 11:38:52,507 - INFO - using gdelt api for Angola 2023
2025-11-16 11:38:52,507 - INFO - fetching articles for Angola (2023-01-01 to 2023-03-31)
2025-11-16 11:38:53,597 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:55,606 - INFO - fetching articles for Angola (2023-04-01 to 2023-06-30)
2025-11-16 11:38:56,687 - INFO - fetched 100 articles for Angola
2025-11-16 11:38:58,696 - INFO - fetching articles for Angola (2023-07-01 to 2023-09-30)
2025-11-16 11:38:59,599 - INFO - fetched 100 articles for Angola
2025-11-16 11:39:01,608 - INFO - fetching articles for Angola (2023-10-01 to 2023-12-31)
2025-11-16 11:39:03,677 - INFO - fetched 100 articles for Angola
2025-11-16 11:39:05,687 - INFO - ✓ completed Angola 2023
2025-11-16 11:39:05,688 - INFO - using gdelt api for Australia 2017
2025-11-16 11:39:05,688 - INFO - fetching articles for Australia (2017-01-01 to 2017-03-31)
2025-11-16 11:39:07,023 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:09,031 - INFO - fetching articles for Australia (2017-04-01 to 2017-06-30)
2025-11-16 11:39:09,933 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:11,937 - INFO - fetching articles for Australia (2017-07-01 to 2017-09-30)
2025-11-16 11:39:12,942 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:14,948 - INFO - fetching articles for Australia (2017-10-01 to 2017-12-31)
2025-11-16 11:39:16,566 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:18,573 - INFO - ✓ completed Australia 2017
2025-11-16 11:39:18,573 - INFO - using gdelt api for Australia 2018
2025-11-16 11:39:18,573 - INFO - fetching articles for Australia (2018-01-01 to 2018-03-31)
2025-11-16 11:39:19,803 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:21,809 - INFO - fetching articles for Australia (2018-04-01 to 2018-06-30)
2025-11-16 11:39:23,237 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:25,245 - INFO - fetching articles for Australia (2018-07-01 to 2018-09-30)
2025-11-16 11:39:26,282 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:28,288 - INFO - fetching articles for Australia (2018-10-01 to 2018-12-31)
2025-11-16 11:39:29,488 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:31,502 - INFO - ✓ completed Australia 2018
2025-11-16 11:39:31,502 - INFO - using gdelt api for Australia 2019
2025-11-16 11:39:31,502 - INFO - fetching articles for Australia (2019-01-01 to 2019-03-31)
2025-11-16 11:39:33,150 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:35,158 - INFO - fetching articles for Australia (2019-04-01 to 2019-06-30)
2025-11-16 11:39:36,658 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:38,663 - INFO - fetching articles for Australia (2019-07-01 to 2019-09-30)
2025-11-16 11:39:39,724 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:41,731 - INFO - fetching articles for Australia (2019-10-01 to 2019-12-31)
2025-11-16 11:39:42,914 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:44,920 - INFO - ✓ completed Australia 2019
2025-11-16 11:39:44,920 - INFO - using gdelt api for Australia 2020
2025-11-16 11:39:44,920 - INFO - fetching articles for Australia (2020-01-01 to 2020-03-31)
2025-11-16 11:39:46,062 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:48,068 - INFO - fetching articles for Australia (2020-04-01 to 2020-06-30)
2025-11-16 11:39:49,687 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:51,695 - INFO - fetching articles for Australia (2020-07-01 to 2020-09-30)
2025-11-16 11:39:53,491 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:55,499 - INFO - fetching articles for Australia (2020-10-01 to 2020-12-31)
2025-11-16 11:39:57,606 - INFO - fetched 100 articles for Australia
2025-11-16 11:39:59,616 - INFO - ✓ completed Australia 2020
2025-11-16 11:39:59,617 - INFO - using gdelt api for Australia 2021
2025-11-16 11:39:59,617 - INFO - fetching articles for Australia (2021-01-01 to 2021-03-31)
2025-11-16 11:40:00,971 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:02,979 - INFO - fetching articles for Australia (2021-04-01 to 2021-06-30)
2025-11-16 11:40:04,357 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:06,366 - INFO - fetching articles for Australia (2021-07-01 to 2021-09-30)
2025-11-16 11:40:07,561 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:09,567 - INFO - fetching articles for Australia (2021-10-01 to 2021-12-31)
2025-11-16 11:40:11,784 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:13,794 - INFO - ✓ completed Australia 2021
2025-11-16 11:40:13,794 - INFO - using gdelt api for Australia 2022
2025-11-16 11:40:13,794 - INFO - fetching articles for Australia (2022-01-01 to 2022-03-31)
2025-11-16 11:40:14,666 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:16,679 - INFO - fetching articles for Australia (2022-04-01 to 2022-06-30)
2025-11-16 11:40:17,694 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:19,702 - INFO - fetching articles for Australia (2022-07-01 to 2022-09-30)
2025-11-16 11:40:20,551 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:22,560 - INFO - fetching articles for Australia (2022-10-01 to 2022-12-31)
2025-11-16 11:40:23,559 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:25,567 - INFO - ✓ completed Australia 2022
2025-11-16 11:40:25,567 - INFO - using gdelt api for Australia 2023
2025-11-16 11:40:25,568 - INFO - fetching articles for Australia (2023-01-01 to 2023-03-31)
2025-11-16 11:40:26,539 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:28,548 - INFO - fetching articles for Australia (2023-04-01 to 2023-06-30)
2025-11-16 11:40:29,531 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:31,536 - INFO - fetching articles for Australia (2023-07-01 to 2023-09-30)
2025-11-16 11:40:32,310 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:34,315 - INFO - fetching articles for Australia (2023-10-01 to 2023-12-31)
2025-11-16 11:40:36,347 - INFO - fetched 100 articles for Australia
2025-11-16 11:40:38,357 - INFO - ✓ completed Australia 2023
2025-11-16 11:40:38,358 - INFO - using gdelt api for Brazil 2017
2025-11-16 11:40:38,358 - INFO - fetching articles for Brazil (2017-01-01 to 2017-03-31)
2025-11-16 11:40:39,282 - INFO - fetched 100 articles for Brazil
2025-11-16 11:40:41,289 - INFO - fetching articles for Brazil (2017-04-01 to 2017-06-30)
2025-11-16 11:40:42,145 - INFO - fetched 100 articles for Brazil
2025-11-16 11:40:44,152 - INFO - fetching articles for Brazil (2017-07-01 to 2017-09-30)
2025-11-16 11:40:45,288 - INFO - fetched 100 articles for Brazil
2025-11-16 11:40:47,296 - INFO - fetching articles for Brazil (2017-10-01 to 2017-12-31)
2025-11-16 11:40:48,038 - INFO - fetched 100 articles for Brazil
2025-11-16 11:40:50,046 - INFO - ✓ completed Brazil 2017
2025-11-16 11:40:50,046 - INFO - using gdelt api for Brazil 2018
2025-11-16 11:40:50,046 - INFO - fetching articles for Brazil (2018-01-01 to 2018-03-31)
2025-11-16 11:40:52,238 - INFO - fetched 100 articles for Brazil
2025-11-16 11:40:54,244 - INFO - fetching articles for Brazil (2018-04-01 to 2018-06-30)
2025-11-16 11:40:54,955 - INFO - fetched 100 articles for Brazil
2025-11-16 11:40:56,959 - INFO - fetching articles for Brazil (2018-07-01 to 2018-09-30)
2025-11-16 11:40:58,022 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:00,026 - INFO - fetching articles for Brazil (2018-10-01 to 2018-12-31)
2025-11-16 11:41:00,786 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:02,794 - INFO - ✓ completed Brazil 2018
2025-11-16 11:41:02,794 - INFO - using gdelt api for Brazil 2019
2025-11-16 11:41:02,794 - INFO - fetching articles for Brazil (2019-01-01 to 2019-03-31)
2025-11-16 11:41:04,135 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:06,142 - INFO - fetching articles for Brazil (2019-04-01 to 2019-06-30)
2025-11-16 11:41:08,329 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:10,337 - INFO - fetching articles for Brazil (2019-07-01 to 2019-09-30)
2025-11-16 11:41:11,116 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:13,122 - INFO - fetching articles for Brazil (2019-10-01 to 2019-12-31)
2025-11-16 11:41:14,351 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:16,359 - INFO - ✓ completed Brazil 2019
2025-11-16 11:41:16,359 - INFO - using gdelt api for Brazil 2020
2025-11-16 11:41:16,359 - INFO - fetching articles for Brazil (2020-01-01 to 2020-03-31)
2025-11-16 11:41:17,412 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:19,418 - INFO - fetching articles for Brazil (2020-04-01 to 2020-06-30)
2025-11-16 11:41:20,114 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:22,122 - INFO - fetching articles for Brazil (2020-07-01 to 2020-09-30)
2025-11-16 11:41:24,008 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:26,016 - INFO - fetching articles for Brazil (2020-10-01 to 2020-12-31)
