/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 13:14:05,799 - INFO - processing 19 countries: ['Angola', 'Australia', 'Brazil', 'Canada', 'Denmark', 'Germany', 'India', 'Iraq', 'Malaysia', 'Mozambique', 'New Zealand', 'Norway', 'Philippines', 'Singapore', 'South Africa', 'Switzerland', 'Ukraine', 'Venezuela', 'Zimbabwe']
2025-11-16 13:14:05,800 - INFO - year range: 2017 to 2023
2025-11-16 13:14:05,800 - INFO - keywords: ['corruption', 'bribery', '"money laundering"', 'fraud', 'embezzlement', 'scandal']
2025-11-16 13:14:05,800 - INFO - fetching news articles...
2025-11-16 13:14:05,800 - INFO - using gdelt api for Angola 2017
2025-11-16 13:14:05,801 - INFO - fetching articles for Angola (2017-01-01 to 2017-03-31) [attempt 1/3]
2025-11-16 13:14:09,746 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:12,753 - INFO - fetching articles for Angola (2017-04-01 to 2017-06-30) [attempt 1/3]
2025-11-16 13:14:13,445 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:16,448 - INFO - fetching articles for Angola (2017-07-01 to 2017-09-30) [attempt 1/3]
2025-11-16 13:14:17,131 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:20,137 - INFO - fetching articles for Angola (2017-10-01 to 2017-12-31) [attempt 1/3]
2025-11-16 13:14:21,080 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:24,089 - INFO - ✓ completed Angola 2017 (400 articles)
2025-11-16 13:14:24,089 - INFO - using gdelt api for Angola 2018
2025-11-16 13:14:24,089 - INFO - fetching articles for Angola (2018-01-01 to 2018-03-31) [attempt 1/3]
2025-11-16 13:14:25,391 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:28,400 - INFO - fetching articles for Angola (2018-04-01 to 2018-06-30) [attempt 1/3]
2025-11-16 13:14:29,483 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:32,490 - INFO - fetching articles for Angola (2018-07-01 to 2018-09-30) [attempt 1/3]
2025-11-16 13:14:33,187 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:36,194 - INFO - fetching articles for Angola (2018-10-01 to 2018-12-31) [attempt 1/3]
2025-11-16 13:14:36,895 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:39,903 - INFO - ✓ completed Angola 2018 (400 articles)
2025-11-16 13:14:39,905 - INFO - using gdelt api for Angola 2019
2025-11-16 13:14:39,905 - INFO - fetching articles for Angola (2019-01-01 to 2019-03-31) [attempt 1/3]
2025-11-16 13:14:41,022 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:44,030 - INFO - fetching articles for Angola (2019-04-01 to 2019-06-30) [attempt 1/3]
2025-11-16 13:14:44,690 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:47,697 - INFO - fetching articles for Angola (2019-07-01 to 2019-09-30) [attempt 1/3]
2025-11-16 13:14:48,632 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:51,636 - INFO - fetching articles for Angola (2019-10-01 to 2019-12-31) [attempt 1/3]
2025-11-16 13:14:52,506 - INFO - fetched 100 articles for Angola
2025-11-16 13:14:55,518 - INFO - ✓ completed Angola 2019 (400 articles)
2025-11-16 13:14:55,519 - INFO - using gdelt api for Angola 2020
2025-11-16 13:14:55,519 - INFO - fetching articles for Angola (2020-01-01 to 2020-03-31) [attempt 1/3]
2025-11-16 13:14:57,001 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:00,012 - INFO - fetching articles for Angola (2020-04-01 to 2020-06-30) [attempt 1/3]
2025-11-16 13:15:00,998 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:04,006 - INFO - fetching articles for Angola (2020-07-01 to 2020-09-30) [attempt 1/3]
2025-11-16 13:15:04,802 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:07,808 - INFO - fetching articles for Angola (2020-10-01 to 2020-12-31) [attempt 1/3]
2025-11-16 13:15:09,072 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:12,077 - INFO - ✓ completed Angola 2020 (400 articles)
2025-11-16 13:15:12,078 - INFO - using gdelt api for Angola 2021
2025-11-16 13:15:12,078 - INFO - fetching articles for Angola (2021-01-01 to 2021-03-31) [attempt 1/3]
2025-11-16 13:15:12,991 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:15,994 - INFO - fetching articles for Angola (2021-04-01 to 2021-06-30) [attempt 1/3]
2025-11-16 13:15:16,951 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:19,955 - INFO - fetching articles for Angola (2021-07-01 to 2021-09-30) [attempt 1/3]
2025-11-16 13:15:20,820 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:23,827 - INFO - fetching articles for Angola (2021-10-01 to 2021-12-31) [attempt 1/3]
2025-11-16 13:15:24,593 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:27,601 - INFO - ✓ completed Angola 2021 (400 articles)
2025-11-16 13:15:27,601 - INFO - using gdelt api for Angola 2022
2025-11-16 13:15:27,601 - INFO - fetching articles for Angola (2022-01-01 to 2022-03-31) [attempt 1/3]
2025-11-16 13:15:28,809 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:31,815 - INFO - fetching articles for Angola (2022-04-01 to 2022-06-30) [attempt 1/3]
2025-11-16 13:15:32,485 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:35,494 - INFO - fetching articles for Angola (2022-07-01 to 2022-09-30) [attempt 1/3]
2025-11-16 13:15:36,662 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:39,671 - INFO - fetching articles for Angola (2022-10-01 to 2022-12-31) [attempt 1/3]
2025-11-16 13:15:40,965 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:43,973 - INFO - ✓ completed Angola 2022 (400 articles)
2025-11-16 13:15:43,974 - INFO - using gdelt api for Angola 2023
2025-11-16 13:15:43,974 - INFO - fetching articles for Angola (2023-01-01 to 2023-03-31) [attempt 1/3]
2025-11-16 13:15:44,731 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:47,739 - INFO - fetching articles for Angola (2023-04-01 to 2023-06-30) [attempt 1/3]
2025-11-16 13:15:48,385 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:51,392 - INFO - fetching articles for Angola (2023-07-01 to 2023-09-30) [attempt 1/3]
2025-11-16 13:15:52,231 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:55,240 - INFO - fetching articles for Angola (2023-10-01 to 2023-12-31) [attempt 1/3]
2025-11-16 13:15:56,323 - INFO - fetched 100 articles for Angola
2025-11-16 13:15:59,336 - INFO - ✓ completed Angola 2023 (400 articles)
2025-11-16 13:15:59,336 - INFO - using gdelt api for Australia 2017
2025-11-16 13:15:59,336 - INFO - fetching articles for Australia (2017-01-01 to 2017-03-31) [attempt 1/3]
2025-11-16 13:16:00,247 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:03,255 - INFO - fetching articles for Australia (2017-04-01 to 2017-06-30) [attempt 1/3]
2025-11-16 13:16:03,890 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:06,893 - INFO - fetching articles for Australia (2017-07-01 to 2017-09-30) [attempt 1/3]
2025-11-16 13:16:08,186 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:11,195 - INFO - fetching articles for Australia (2017-10-01 to 2017-12-31) [attempt 1/3]
2025-11-16 13:16:12,020 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:15,024 - INFO - ✓ completed Australia 2017 (800 articles)
2025-11-16 13:16:15,024 - INFO - using gdelt api for Australia 2018
2025-11-16 13:16:15,024 - INFO - fetching articles for Australia (2018-01-01 to 2018-03-31) [attempt 1/3]
2025-11-16 13:16:15,821 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:18,828 - INFO - fetching articles for Australia (2018-04-01 to 2018-06-30) [attempt 1/3]
2025-11-16 13:16:19,599 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:22,607 - INFO - fetching articles for Australia (2018-07-01 to 2018-09-30) [attempt 1/3]
2025-11-16 13:16:23,561 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:26,569 - INFO - fetching articles for Australia (2018-10-01 to 2018-12-31) [attempt 1/3]
2025-11-16 13:16:27,196 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:30,204 - INFO - ✓ completed Australia 2018 (800 articles)
2025-11-16 13:16:30,204 - INFO - using gdelt api for Australia 2019
2025-11-16 13:16:30,204 - INFO - fetching articles for Australia (2019-01-01 to 2019-03-31) [attempt 1/3]
2025-11-16 13:16:31,142 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:34,149 - INFO - fetching articles for Australia (2019-04-01 to 2019-06-30) [attempt 1/3]
2025-11-16 13:16:34,922 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:37,934 - INFO - fetching articles for Australia (2019-07-01 to 2019-09-30) [attempt 1/3]
2025-11-16 13:16:38,927 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:41,932 - INFO - fetching articles for Australia (2019-10-01 to 2019-12-31) [attempt 1/3]
2025-11-16 13:16:42,826 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:45,837 - INFO - ✓ completed Australia 2019 (800 articles)
2025-11-16 13:16:45,837 - INFO - using gdelt api for Australia 2020
2025-11-16 13:16:45,837 - INFO - fetching articles for Australia (2020-01-01 to 2020-03-31) [attempt 1/3]
2025-11-16 13:16:46,660 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:49,663 - INFO - fetching articles for Australia (2020-04-01 to 2020-06-30) [attempt 1/3]
2025-11-16 13:16:50,616 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:53,624 - INFO - fetching articles for Australia (2020-07-01 to 2020-09-30) [attempt 1/3]
2025-11-16 13:16:54,424 - INFO - fetched 100 articles for Australia
2025-11-16 13:16:57,432 - INFO - fetching articles for Australia (2020-10-01 to 2020-12-31) [attempt 1/3]
2025-11-16 13:16:58,376 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:01,385 - INFO - ✓ completed Australia 2020 (800 articles)
2025-11-16 13:17:01,385 - INFO - using gdelt api for Australia 2021
2025-11-16 13:17:01,385 - INFO - fetching articles for Australia (2021-01-01 to 2021-03-31) [attempt 1/3]
2025-11-16 13:17:02,276 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:05,284 - INFO - fetching articles for Australia (2021-04-01 to 2021-06-30) [attempt 1/3]
2025-11-16 13:17:05,996 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:09,007 - INFO - fetching articles for Australia (2021-07-01 to 2021-09-30) [attempt 1/3]
2025-11-16 13:17:10,168 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:13,176 - INFO - fetching articles for Australia (2021-10-01 to 2021-12-31) [attempt 1/3]
2025-11-16 13:17:14,298 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:17,308 - INFO - ✓ completed Australia 2021 (800 articles)
2025-11-16 13:17:17,308 - INFO - using gdelt api for Australia 2022
2025-11-16 13:17:17,308 - INFO - fetching articles for Australia (2022-01-01 to 2022-03-31) [attempt 1/3]
2025-11-16 13:17:18,071 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:21,077 - INFO - fetching articles for Australia (2022-04-01 to 2022-06-30) [attempt 1/3]
2025-11-16 13:17:22,135 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:25,142 - INFO - fetching articles for Australia (2022-07-01 to 2022-09-30) [attempt 1/3]
2025-11-16 13:17:25,970 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:28,978 - INFO - fetching articles for Australia (2022-10-01 to 2022-12-31) [attempt 1/3]
2025-11-16 13:17:29,787 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:32,798 - INFO - ✓ completed Australia 2022 (800 articles)
2025-11-16 13:17:32,798 - INFO - using gdelt api for Australia 2023
2025-11-16 13:17:32,799 - INFO - fetching articles for Australia (2023-01-01 to 2023-03-31) [attempt 1/3]
2025-11-16 13:17:33,516 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:36,520 - INFO - fetching articles for Australia (2023-04-01 to 2023-06-30) [attempt 1/3]
2025-11-16 13:17:37,189 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:40,194 - INFO - fetching articles for Australia (2023-07-01 to 2023-09-30) [attempt 1/3]
2025-11-16 13:17:41,382 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:44,390 - INFO - fetching articles for Australia (2023-10-01 to 2023-12-31) [attempt 1/3]
2025-11-16 13:17:45,148 - INFO - fetched 100 articles for Australia
2025-11-16 13:17:48,160 - INFO - ✓ completed Australia 2023 (800 articles)
2025-11-16 13:17:48,160 - INFO - using gdelt api for Brazil 2017
2025-11-16 13:17:48,160 - INFO - fetching articles for Brazil (2017-01-01 to 2017-03-31) [attempt 1/3]
2025-11-16 13:17:49,181 - INFO - fetched 100 articles for Brazil
2025-11-16 13:17:52,190 - INFO - fetching articles for Brazil (2017-04-01 to 2017-06-30) [attempt 1/3]
2025-11-16 13:17:53,341 - INFO - fetched 100 articles for Brazil
2025-11-16 13:17:56,347 - INFO - fetching articles for Brazil (2017-07-01 to 2017-09-30) [attempt 1/3]
2025-11-16 13:17:57,327 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:00,334 - INFO - fetching articles for Brazil (2017-10-01 to 2017-12-31) [attempt 1/3]
2025-11-16 13:18:01,291 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:04,297 - INFO - ✓ completed Brazil 2017 (1200 articles)
2025-11-16 13:18:04,297 - INFO - using gdelt api for Brazil 2018
2025-11-16 13:18:04,297 - INFO - fetching articles for Brazil (2018-01-01 to 2018-03-31) [attempt 1/3]
2025-11-16 13:18:05,145 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:08,152 - INFO - fetching articles for Brazil (2018-04-01 to 2018-06-30) [attempt 1/3]
2025-11-16 13:18:08,913 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:11,920 - INFO - fetching articles for Brazil (2018-07-01 to 2018-09-30) [attempt 1/3]
2025-11-16 13:18:13,135 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:16,140 - INFO - fetching articles for Brazil (2018-10-01 to 2018-12-31) [attempt 1/3]
2025-11-16 13:18:17,025 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:20,036 - INFO - ✓ completed Brazil 2018 (1200 articles)
2025-11-16 13:18:20,036 - INFO - using gdelt api for Brazil 2019
