/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 11:37:18,124 - INFO - processing 19 countries: ['Angola', 'Australia', 'Brazil', 'Canada', 'Denmark', 'Germany', 'India', 'Iraq', 'Malaysia', 'Mozambique', 'New Zealand', 'Norway', 'Philippines', 'Singapore', 'South Africa', 'Switzerland', 'Ukraine', 'Venezuela', 'Zimbabwe']
2025-11-16 11:37:18,124 - INFO - year range: 2010 to 2016
2025-11-16 11:37:18,125 - INFO - keywords: ['corruption', 'bribery', '"money laundering"', 'fraud', 'embezzlement', 'scandal']
2025-11-16 11:37:18,125 - INFO - fetching news articles...
2025-11-16 11:37:18,125 - INFO - skipping Angola 2010 (already fetched)
2025-11-16 11:37:18,125 - INFO - skipping Angola 2011 (already fetched)
2025-11-16 11:37:18,125 - INFO - skipping Angola 2012 (already fetched)
2025-11-16 11:37:18,125 - INFO - using guardian api for Angola 2013
2025-11-16 11:37:18,125 - INFO - fetching guardian page 1 for Angola (2013-01-01 to 2013-03-31)
2025-11-16 11:37:18,733 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 11:37:19,840 - INFO - fetching guardian page 1 for Angola (2013-04-01 to 2013-06-30)
2025-11-16 11:37:20,403 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 11:37:21,510 - INFO - fetching guardian page 1 for Angola (2013-07-01 to 2013-09-30)
2025-11-16 11:37:21,975 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 11:37:23,080 - INFO - fetching guardian page 1 for Angola (2013-10-01 to 2013-12-31)
2025-11-16 11:37:23,557 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 11:37:24,662 - INFO - ✓ completed Angola 2013
2025-11-16 11:37:24,663 - INFO - using guardian api for Angola 2014
2025-11-16 11:37:24,663 - INFO - fetching guardian page 1 for Angola (2014-01-01 to 2014-03-31)
2025-11-16 11:37:25,127 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 11:37:26,235 - INFO - fetching guardian page 1 for Angola (2014-04-01 to 2014-06-30)
2025-11-16 11:37:26,734 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 11:37:27,841 - INFO - fetching guardian page 1 for Angola (2014-07-01 to 2014-09-30)
2025-11-16 11:37:28,410 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 11:37:29,516 - INFO - fetching guardian page 1 for Angola (2014-10-01 to 2014-12-31)
2025-11-16 11:37:30,133 - INFO - fetched 4 relevant articles for Angola after filtering
2025-11-16 11:37:31,240 - INFO - ✓ completed Angola 2014
2025-11-16 11:37:31,240 - INFO - using guardian api for Angola 2015
2025-11-16 11:37:31,241 - INFO - fetching guardian page 1 for Angola (2015-01-01 to 2015-03-31)
2025-11-16 11:37:31,716 - INFO - fetched 5 relevant articles for Angola after filtering
2025-11-16 11:37:32,820 - INFO - fetching guardian page 1 for Angola (2015-04-01 to 2015-06-30)
2025-11-16 11:37:33,433 - INFO - fetched 4 relevant articles for Angola after filtering
2025-11-16 11:37:34,537 - INFO - fetching guardian page 1 for Angola (2015-07-01 to 2015-09-30)
2025-11-16 11:37:35,096 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 11:37:36,204 - INFO - fetching guardian page 1 for Angola (2015-10-01 to 2015-12-31)
2025-11-16 11:37:36,683 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 11:37:37,787 - INFO - ✓ completed Angola 2015
2025-11-16 11:37:37,787 - INFO - using guardian api for Angola 2016
2025-11-16 11:37:37,788 - INFO - fetching guardian page 1 for Angola (2016-01-01 to 2016-03-31)
2025-11-16 11:37:38,377 - INFO - fetched 2 relevant articles for Angola after filtering
2025-11-16 11:37:39,480 - INFO - fetching guardian page 1 for Angola (2016-04-01 to 2016-06-30)
2025-11-16 11:37:40,092 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 11:37:41,199 - INFO - fetching guardian page 1 for Angola (2016-07-01 to 2016-09-30)
2025-11-16 11:37:41,675 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 11:37:42,780 - INFO - fetching guardian page 1 for Angola (2016-10-01 to 2016-12-31)
2025-11-16 11:37:43,262 - INFO - fetched 3 relevant articles for Angola after filtering
2025-11-16 11:37:44,374 - INFO - ✓ completed Angola 2016
2025-11-16 11:37:44,374 - INFO - using guardian api for Australia 2010
2025-11-16 11:37:44,374 - INFO - fetching guardian page 1 for Australia (2010-01-01 to 2010-03-31)
2025-11-16 11:37:44,984 - INFO - fetched 13 relevant articles for Australia after filtering
2025-11-16 11:37:46,091 - INFO - fetching guardian page 1 for Australia (2010-04-01 to 2010-06-30)
2025-11-16 11:37:46,692 - INFO - fetched 8 relevant articles for Australia after filtering
2025-11-16 11:37:47,797 - INFO - fetching guardian page 1 for Australia (2010-07-01 to 2010-09-30)
2025-11-16 11:37:49,464 - INFO - fetching guardian page 2 for Australia (2010-07-01 to 2010-09-30)
2025-11-16 11:37:50,059 - INFO - fetched 24 relevant articles for Australia after filtering
2025-11-16 11:37:51,165 - INFO - fetching guardian page 1 for Australia (2010-10-01 to 2010-12-31)
2025-11-16 11:37:52,813 - INFO - fetching guardian page 2 for Australia (2010-10-01 to 2010-12-31)
2025-11-16 11:37:53,394 - INFO - fetched 12 relevant articles for Australia after filtering
2025-11-16 11:37:54,500 - INFO - ✓ completed Australia 2010
2025-11-16 11:37:54,500 - INFO - using guardian api for Australia 2011
2025-11-16 11:37:54,500 - INFO - fetching guardian page 1 for Australia (2011-01-01 to 2011-03-31)
2025-11-16 11:37:56,189 - INFO - fetching guardian page 2 for Australia (2011-01-01 to 2011-03-31)
2025-11-16 11:37:56,716 - INFO - fetched 4 relevant articles for Australia after filtering
2025-11-16 11:37:57,821 - INFO - fetching guardian page 1 for Australia (2011-04-01 to 2011-06-30)
2025-11-16 11:37:58,331 - INFO - fetched 4 relevant articles for Australia after filtering
2025-11-16 11:37:59,434 - INFO - fetching guardian page 1 for Australia (2011-07-01 to 2011-09-30)
2025-11-16 11:38:01,122 - INFO - fetching guardian page 2 for Australia (2011-07-01 to 2011-09-30)
2025-11-16 11:38:01,621 - INFO - fetched 20 relevant articles for Australia after filtering
2025-11-16 11:38:02,725 - INFO - fetching guardian page 1 for Australia (2011-10-01 to 2011-12-31)
2025-11-16 11:38:03,333 - INFO - fetched 5 relevant articles for Australia after filtering
2025-11-16 11:38:04,441 - INFO - ✓ completed Australia 2011
2025-11-16 11:38:04,441 - INFO - using guardian api for Australia 2012
2025-11-16 11:38:04,441 - INFO - fetching guardian page 1 for Australia (2012-01-01 to 2012-03-31)
2025-11-16 11:38:05,045 - INFO - fetched 5 relevant articles for Australia after filtering
2025-11-16 11:38:06,149 - INFO - fetching guardian page 1 for Australia (2012-04-01 to 2012-06-30)
2025-11-16 11:38:06,718 - INFO - fetched 8 relevant articles for Australia after filtering
2025-11-16 11:38:07,824 - INFO - fetching guardian page 1 for Australia (2012-07-01 to 2012-09-30)
2025-11-16 11:38:08,404 - INFO - fetched 5 relevant articles for Australia after filtering
2025-11-16 11:38:09,511 - INFO - fetching guardian page 1 for Australia (2012-10-01 to 2012-12-31)
2025-11-16 11:38:11,178 - INFO - fetching guardian page 2 for Australia (2012-10-01 to 2012-12-31)
2025-11-16 11:38:11,707 - INFO - fetched 7 relevant articles for Australia after filtering
2025-11-16 11:38:12,814 - INFO - ✓ completed Australia 2012
2025-11-16 11:38:12,814 - INFO - using guardian api for Australia 2013
2025-11-16 11:38:12,814 - INFO - fetching guardian page 1 for Australia (2013-01-01 to 2013-03-31)
2025-11-16 11:38:14,513 - INFO - fetching guardian page 2 for Australia (2013-01-01 to 2013-03-31)
2025-11-16 11:38:15,096 - INFO - fetched 14 relevant articles for Australia after filtering
2025-11-16 11:38:16,202 - INFO - fetching guardian page 1 for Australia (2013-04-01 to 2013-06-30)
2025-11-16 11:38:17,901 - INFO - fetching guardian page 2 for Australia (2013-04-01 to 2013-06-30)
2025-11-16 11:38:18,486 - INFO - fetched 11 relevant articles for Australia after filtering
2025-11-16 11:38:19,592 - INFO - fetching guardian page 1 for Australia (2013-07-01 to 2013-09-30)
2025-11-16 11:38:21,240 - INFO - fetching guardian page 2 for Australia (2013-07-01 to 2013-09-30)
2025-11-16 11:38:22,974 - INFO - fetching guardian page 3 for Australia (2013-07-01 to 2013-09-30)
2025-11-16 11:38:23,613 - INFO - fetched 14 relevant articles for Australia after filtering
2025-11-16 11:38:24,720 - INFO - fetching guardian page 1 for Australia (2013-10-01 to 2013-12-31)
2025-11-16 11:38:26,346 - INFO - fetching guardian page 2 for Australia (2013-10-01 to 2013-12-31)
2025-11-16 11:38:28,063 - INFO - fetching guardian page 3 for Australia (2013-10-01 to 2013-12-31)
2025-11-16 11:38:28,678 - INFO - fetched 12 relevant articles for Australia after filtering
2025-11-16 11:38:29,787 - INFO - ✓ completed Australia 2013
2025-11-16 11:38:29,788 - INFO - using guardian api for Australia 2014
2025-11-16 11:38:29,788 - INFO - fetching guardian page 1 for Australia (2014-01-01 to 2014-03-31)
2025-11-16 11:38:31,533 - INFO - fetching guardian page 2 for Australia (2014-01-01 to 2014-03-31)
2025-11-16 11:38:32,205 - INFO - fetched 9 relevant articles for Australia after filtering
2025-11-16 11:38:33,308 - INFO - fetching guardian page 1 for Australia (2014-04-01 to 2014-06-30)
2025-11-16 11:38:34,973 - INFO - fetching guardian page 2 for Australia (2014-04-01 to 2014-06-30)
2025-11-16 11:38:36,780 - INFO - fetching guardian page 3 for Australia (2014-04-01 to 2014-06-30)
2025-11-16 11:38:37,405 - INFO - fetched 23 relevant articles for Australia after filtering
2025-11-16 11:38:38,507 - INFO - fetching guardian page 1 for Australia (2014-07-01 to 2014-09-30)
2025-11-16 11:38:40,220 - INFO - fetching guardian page 2 for Australia (2014-07-01 to 2014-09-30)
2025-11-16 11:38:42,020 - INFO - fetching guardian page 3 for Australia (2014-07-01 to 2014-09-30)
2025-11-16 11:38:42,671 - INFO - fetched 17 relevant articles for Australia after filtering
2025-11-16 11:38:43,779 - INFO - fetching guardian page 1 for Australia (2014-10-01 to 2014-12-31)
2025-11-16 11:38:45,479 - INFO - fetching guardian page 2 for Australia (2014-10-01 to 2014-12-31)
2025-11-16 11:38:47,273 - INFO - fetching guardian page 3 for Australia (2014-10-01 to 2014-12-31)
2025-11-16 11:38:48,026 - INFO - fetched 20 relevant articles for Australia after filtering
2025-11-16 11:38:49,135 - INFO - ✓ completed Australia 2014
2025-11-16 11:38:49,135 - INFO - using guardian api for Australia 2015
2025-11-16 11:38:49,136 - INFO - fetching guardian page 1 for Australia (2015-01-01 to 2015-03-31)
2025-11-16 11:38:50,931 - INFO - fetching guardian page 2 for Australia (2015-01-01 to 2015-03-31)
2025-11-16 11:38:52,578 - INFO - fetching guardian page 3 for Australia (2015-01-01 to 2015-03-31)
2025-11-16 11:38:53,214 - INFO - fetched 19 relevant articles for Australia after filtering
2025-11-16 11:38:54,321 - INFO - fetching guardian page 1 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 11:38:56,175 - INFO - fetching guardian page 2 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 11:38:57,950 - INFO - fetching guardian page 3 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 11:38:59,863 - INFO - fetching guardian page 4 for Australia (2015-04-01 to 2015-06-30)
2025-11-16 11:39:00,604 - INFO - fetched 23 relevant articles for Australia after filtering
2025-11-16 11:39:01,711 - INFO - fetching guardian page 1 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 11:39:03,519 - INFO - fetching guardian page 2 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 11:39:05,211 - INFO - fetching guardian page 3 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 11:39:06,969 - INFO - fetching guardian page 4 for Australia (2015-07-01 to 2015-09-30)
2025-11-16 11:39:07,686 - INFO - fetched 32 relevant articles for Australia after filtering
2025-11-16 11:39:08,791 - INFO - fetching guardian page 1 for Australia (2015-10-01 to 2015-12-31)
2025-11-16 11:39:10,519 - INFO - fetching guardian page 2 for Australia (2015-10-01 to 2015-12-31)
2025-11-16 11:39:11,210 - INFO - fetched 17 relevant articles for Australia after filtering
2025-11-16 11:39:12,318 - INFO - ✓ completed Australia 2015
2025-11-16 11:39:12,318 - INFO - using guardian api for Australia 2016
2025-11-16 11:39:12,318 - INFO - fetching guardian page 1 for Australia (2016-01-01 to 2016-03-31)
2025-11-16 11:39:14,054 - INFO - fetching guardian page 2 for Australia (2016-01-01 to 2016-03-31)
2025-11-16 11:39:15,876 - INFO - fetching guardian page 3 for Australia (2016-01-01 to 2016-03-31)
2025-11-16 11:39:16,570 - INFO - fetched 18 relevant articles for Australia after filtering
2025-11-16 11:39:17,677 - INFO - fetching guardian page 1 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 11:39:19,336 - INFO - fetching guardian page 2 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 11:39:21,020 - INFO - fetching guardian page 3 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 11:39:22,994 - INFO - fetching guardian page 4 for Australia (2016-04-01 to 2016-06-30)
2025-11-16 11:39:23,707 - INFO - fetched 26 relevant articles for Australia after filtering
2025-11-16 11:39:24,814 - INFO - fetching guardian page 1 for Australia (2016-07-01 to 2016-09-30)
2025-11-16 11:39:26,487 - INFO - fetching guardian page 2 for Australia (2016-07-01 to 2016-09-30)
2025-11-16 11:39:28,176 - INFO - fetching guardian page 3 for Australia (2016-07-01 to 2016-09-30)
2025-11-16 11:39:29,038 - INFO - fetched 14 relevant articles for Australia after filtering
2025-11-16 11:39:30,146 - INFO - fetching guardian page 1 for Australia (2016-10-01 to 2016-12-31)
2025-11-16 11:39:31,828 - INFO - fetching guardian page 2 for Australia (2016-10-01 to 2016-12-31)
2025-11-16 11:39:33,561 - INFO - fetching guardian page 3 for Australia (2016-10-01 to 2016-12-31)
2025-11-16 11:39:34,419 - INFO - fetched 16 relevant articles for Australia after filtering
2025-11-16 11:39:35,527 - INFO - ✓ completed Australia 2016
2025-11-16 11:39:35,528 - INFO - using guardian api for Brazil 2010
2025-11-16 11:39:35,528 - INFO - fetching guardian page 1 for Brazil (2010-01-01 to 2010-03-31)
2025-11-16 11:39:36,096 - INFO - fetched 2 relevant articles for Brazil after filtering
2025-11-16 11:39:37,203 - INFO - fetching guardian page 1 for Brazil (2010-04-01 to 2010-06-30)
