/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 14:01:00,356 - INFO - processing 19 countries: ['Angola', 'Australia', 'Brazil', 'Canada', 'Denmark', 'Germany', 'India', 'Iraq', 'Malaysia', 'Mozambique', 'New Zealand', 'Norway', 'Philippines', 'Singapore', 'South Africa', 'Switzerland', 'Ukraine', 'Venezuela', 'Zimbabwe']
2025-11-16 14:01:00,356 - INFO - year range: 2010 to 2016
2025-11-16 14:01:00,356 - INFO - keywords: ['corruption', 'bribery', '"money laundering"', 'fraud', 'embezzlement', 'scandal']
2025-11-16 14:01:00,357 - INFO - fetching news articles...
2025-11-16 14:01:00,357 - INFO - using guardian api for Angola 2010
2025-11-16 14:01:00,357 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:00,357 - INFO - fetching guardian page 1 for Angola (2010-01-01 to 2010-03-31)
2025-11-16 14:01:00,974 - INFO - fetched 2 relevant articles for Angola after filtering
2025-11-16 14:01:02,077 - INFO - fetching guardian page 1 for Angola (2010-04-01 to 2010-06-30)
2025-11-16 14:01:02,574 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 14:01:03,680 - INFO - fetching guardian page 1 for Angola (2010-07-01 to 2010-09-30)
2025-11-16 14:01:04,297 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:05,402 - INFO - fetching guardian page 1 for Angola (2010-10-01 to 2010-12-31)
2025-11-16 14:01:05,979 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:07,086 - INFO - ✓ completed Angola 2010 (3 articles)
2025-11-16 14:01:07,086 - INFO - using guardian api for Angola 2011
2025-11-16 14:01:07,087 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:07,087 - INFO - fetching guardian page 1 for Angola (2011-01-01 to 2011-03-31)
2025-11-16 14:01:07,732 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 14:01:08,838 - INFO - fetching guardian page 1 for Angola (2011-04-01 to 2011-06-30)
2025-11-16 14:01:09,355 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:10,462 - INFO - fetching guardian page 1 for Angola (2011-07-01 to 2011-09-30)
2025-11-16 14:01:11,091 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:12,198 - INFO - fetching guardian page 1 for Angola (2011-10-01 to 2011-12-31)
2025-11-16 14:01:12,801 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:13,912 - INFO - ✓ completed Angola 2011 (1 articles)
2025-11-16 14:01:13,912 - INFO - using guardian api for Angola 2012
2025-11-16 14:01:13,913 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:13,913 - INFO - fetching guardian page 1 for Angola (2012-01-01 to 2012-03-31)
2025-11-16 14:01:14,385 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:15,492 - INFO - fetching guardian page 1 for Angola (2012-04-01 to 2012-06-30)
2025-11-16 14:01:15,960 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:17,062 - INFO - fetching guardian page 1 for Angola (2012-07-01 to 2012-09-30)
2025-11-16 14:01:17,519 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:18,626 - INFO - fetching guardian page 1 for Angola (2012-10-01 to 2012-12-31)
2025-11-16 14:01:19,222 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:20,326 - INFO - ✓ completed Angola 2012 (0 articles)
2025-11-16 14:01:20,326 - INFO - using guardian api for Angola 2013
2025-11-16 14:01:20,326 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:20,326 - INFO - fetching guardian page 1 for Angola (2013-01-01 to 2013-03-31)
2025-11-16 14:01:20,788 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 14:01:21,895 - INFO - fetching guardian page 1 for Angola (2013-04-01 to 2013-06-30)
2025-11-16 14:01:22,383 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:23,492 - INFO - fetching guardian page 1 for Angola (2013-07-01 to 2013-09-30)
2025-11-16 14:01:24,027 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 14:01:25,130 - INFO - fetching guardian page 1 for Angola (2013-10-01 to 2013-12-31)
2025-11-16 14:01:25,622 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:26,730 - INFO - ✓ completed Angola 2013 (2 articles)
2025-11-16 14:01:26,730 - INFO - using guardian api for Angola 2014
2025-11-16 14:01:26,730 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:26,730 - INFO - fetching guardian page 1 for Angola (2014-01-01 to 2014-03-31)
2025-11-16 14:01:27,184 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:28,293 - INFO - fetching guardian page 1 for Angola (2014-04-01 to 2014-06-30)
2025-11-16 14:01:28,766 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:29,870 - INFO - fetching guardian page 1 for Angola (2014-07-01 to 2014-09-30)
2025-11-16 14:01:30,320 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:31,423 - INFO - fetching guardian page 1 for Angola (2014-10-01 to 2014-12-31)
2025-11-16 14:01:31,930 - INFO - fetched 4 relevant articles for Angola after filtering
2025-11-16 14:01:33,038 - INFO - ✓ completed Angola 2014 (4 articles)
2025-11-16 14:01:33,038 - INFO - using guardian api for Angola 2015
2025-11-16 14:01:33,038 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:33,038 - INFO - fetching guardian page 1 for Angola (2015-01-01 to 2015-03-31)
2025-11-16 14:01:33,614 - INFO - fetched 5 relevant articles for Angola after filtering
2025-11-16 14:01:34,720 - INFO - fetching guardian page 1 for Angola (2015-04-01 to 2015-06-30)
2025-11-16 14:01:35,340 - INFO - fetched 4 relevant articles for Angola after filtering
2025-11-16 14:01:36,446 - INFO - fetching guardian page 1 for Angola (2015-07-01 to 2015-09-30)
2025-11-16 14:01:36,914 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 14:01:38,019 - INFO - fetching guardian page 1 for Angola (2015-10-01 to 2015-12-31)
2025-11-16 14:01:38,613 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 14:01:39,719 - INFO - ✓ completed Angola 2015 (10 articles)
2025-11-16 14:01:39,720 - INFO - using guardian api for Angola 2016
2025-11-16 14:01:39,720 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:39,720 - INFO - fetching guardian page 1 for Angola (2016-01-01 to 2016-03-31)
2025-11-16 14:01:40,423 - INFO - fetched 2 relevant articles for Angola after filtering
2025-11-16 14:01:41,527 - INFO - fetching guardian page 1 for Angola (2016-04-01 to 2016-06-30)
2025-11-16 14:01:41,982 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 14:01:43,089 - INFO - fetching guardian page 1 for Angola (2016-07-01 to 2016-09-30)
2025-11-16 14:01:43,573 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 14:01:44,680 - INFO - fetching guardian page 1 for Angola (2016-10-01 to 2016-12-31)
2025-11-16 14:01:45,301 - INFO - fetched 3 relevant articles for Angola after filtering
2025-11-16 14:01:46,404 - INFO - ✓ completed Angola 2016 (7 articles)
2025-11-16 14:01:46,404 - INFO - using guardian api for Australia 2010
2025-11-16 14:01:46,405 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:46,405 - INFO - fetching guardian page 1 for Australia (2010-01-01 to 2010-03-31)
2025-11-16 14:01:46,946 - INFO - fetched 13 relevant articles for Australia after filtering
2025-11-16 14:01:48,051 - INFO - fetching guardian page 1 for Australia (2010-04-01 to 2010-06-30)
2025-11-16 14:01:48,644 - INFO - fetched 8 relevant articles for Australia after filtering
2025-11-16 14:01:49,749 - INFO - fetching guardian page 1 for Australia (2010-07-01 to 2010-09-30)
2025-11-16 14:01:51,398 - INFO - fetching guardian page 2 for Australia (2010-07-01 to 2010-09-30)
2025-11-16 14:01:51,979 - INFO - fetched 24 relevant articles for Australia after filtering
2025-11-16 14:01:53,083 - INFO - fetching guardian page 1 for Australia (2010-10-01 to 2010-12-31)
2025-11-16 14:01:55,027 - INFO - fetching guardian page 2 for Australia (2010-10-01 to 2010-12-31)
2025-11-16 14:01:55,790 - INFO - fetched 12 relevant articles for Australia after filtering
2025-11-16 14:01:56,898 - INFO - ✓ completed Australia 2010 (60 articles)
2025-11-16 14:01:56,899 - INFO - using guardian api for Australia 2011
2025-11-16 14:01:56,899 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:01:56,900 - INFO - fetching guardian page 1 for Australia (2011-01-01 to 2011-03-31)
2025-11-16 14:01:58,533 - INFO - fetching guardian page 2 for Australia (2011-01-01 to 2011-03-31)
2025-11-16 14:01:59,072 - INFO - fetched 4 relevant articles for Australia after filtering
2025-11-16 14:02:00,177 - INFO - fetching guardian page 1 for Australia (2011-04-01 to 2011-06-30)
2025-11-16 14:02:00,789 - INFO - fetched 4 relevant articles for Australia after filtering
2025-11-16 14:02:01,896 - INFO - fetching guardian page 1 for Australia (2011-07-01 to 2011-09-30)
2025-11-16 14:02:03,711 - INFO - fetching guardian page 2 for Australia (2011-07-01 to 2011-09-30)
2025-11-16 14:02:04,347 - INFO - fetched 20 relevant articles for Australia after filtering
2025-11-16 14:02:05,454 - INFO - fetching guardian page 1 for Australia (2011-10-01 to 2011-12-31)
2025-11-16 14:02:06,035 - INFO - fetched 5 relevant articles for Australia after filtering
2025-11-16 14:02:07,138 - INFO - ✓ completed Australia 2011 (34 articles)
2025-11-16 14:02:07,138 - INFO - using guardian api for Australia 2012
2025-11-16 14:02:07,139 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:02:07,139 - INFO - fetching guardian page 1 for Australia (2012-01-01 to 2012-03-31)
2025-11-16 14:02:07,848 - INFO - fetched 5 relevant articles for Australia after filtering
2025-11-16 14:02:08,952 - INFO - fetching guardian page 1 for Australia (2012-04-01 to 2012-06-30)
2025-11-16 14:02:09,602 - INFO - fetched 8 relevant articles for Australia after filtering
2025-11-16 14:02:10,708 - INFO - fetching guardian page 1 for Australia (2012-07-01 to 2012-09-30)
2025-11-16 14:02:11,426 - INFO - fetched 5 relevant articles for Australia after filtering
2025-11-16 14:02:12,534 - INFO - fetching guardian page 1 for Australia (2012-10-01 to 2012-12-31)
2025-11-16 14:02:14,400 - INFO - fetching guardian page 2 for Australia (2012-10-01 to 2012-12-31)
2025-11-16 14:02:15,188 - INFO - fetched 7 relevant articles for Australia after filtering
2025-11-16 14:02:16,293 - INFO - ✓ completed Australia 2012 (25 articles)
2025-11-16 14:02:16,294 - INFO - using guardian api for Australia 2013
2025-11-16 14:02:16,294 - INFO - using guardian api key: c1bb1584...
2025-11-16 14:02:16,294 - INFO - fetching guardian page 1 for Australia (2013-01-01 to 2013-03-31)
2025-11-16 14:02:17,937 - INFO - fetching guardian page 2 for Australia (2013-01-01 to 2013-03-31)
2025-11-16 14:02:18,507 - INFO - fetched 14 relevant articles for Australia after filtering
2025-11-16 14:02:19,615 - INFO - fetching guardian page 1 for Australia (2013-04-01 to 2013-06-30)
2025-11-16 14:02:21,319 - INFO - fetching guardian page 2 for Australia (2013-04-01 to 2013-06-30)
2025-11-16 14:02:22,010 - INFO - fetched 11 relevant articles for Australia after filtering
2025-11-16 14:02:23,119 - INFO - fetching guardian page 1 for Australia (2013-07-01 to 2013-09-30)
2025-11-16 14:02:24,762 - INFO - fetching guardian page 2 for Australia (2013-07-01 to 2013-09-30)
2025-11-16 14:02:26,465 - INFO - fetching guardian page 3 for Australia (2013-07-01 to 2013-09-30)
2025-11-16 14:02:27,050 - INFO - fetched 14 relevant articles for Australia after filtering
2025-11-16 14:02:28,156 - INFO - fetching guardian page 1 for Australia (2013-10-01 to 2013-12-31)
2025-11-16 14:02:29,801 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:02:29,801 - INFO - fetching guardian page 2 for Australia (2013-10-01 to 2013-12-31)
2025-11-16 14:02:31,524 - INFO - fetching guardian page 3 for Australia (2013-10-01 to 2013-12-31)
2025-11-16 14:02:32,267 - INFO - fetched 12 relevant articles for Australia after filtering
2025-11-16 14:02:33,372 - INFO - ✓ completed Australia 2013 (53 articles)
2025-11-16 14:02:33,372 - INFO - using guardian api for Australia 2014
2025-11-16 14:02:33,373 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:02:33,373 - INFO - fetching guardian page 1 for Australia (2014-01-01 to 2014-03-31)
2025-11-16 14:02:35,061 - INFO - fetching guardian page 2 for Australia (2014-01-01 to 2014-03-31)
2025-11-16 14:02:35,809 - INFO - fetched 9 relevant articles for Australia after filtering
2025-11-16 14:02:36,913 - INFO - fetching guardian page 1 for Australia (2014-04-01 to 2014-06-30)
2025-11-16 14:02:38,653 - INFO - fetching guardian page 2 for Australia (2014-04-01 to 2014-06-30)
2025-11-16 14:02:40,414 - INFO - fetching guardian page 3 for Australia (2014-04-01 to 2014-06-30)
2025-11-16 14:02:41,023 - INFO - fetched 23 relevant articles for Australia after filtering
2025-11-16 14:02:42,126 - INFO - fetching guardian page 1 for Australia (2014-07-01 to 2014-09-30)
2025-11-16 14:02:43,835 - INFO - fetching guardian page 2 for Australia (2014-07-01 to 2014-09-30)
2025-11-16 14:02:45,653 - INFO - fetching guardian page 3 for Australia (2014-07-01 to 2014-09-30)
2025-11-16 14:02:46,333 - INFO - fetched 17 relevant articles for Australia after filtering
2025-11-16 14:02:47,437 - INFO - fetching guardian page 1 for Australia (2014-10-01 to 2014-12-31)
2025-11-16 14:02:49,103 - INFO - fetching guardian page 2 for Australia (2014-10-01 to 2014-12-31)
2025-11-16 14:02:50,898 - INFO - fetching guardian page 3 for Australia (2014-10-01 to 2014-12-31)
2025-11-16 14:02:51,552 - INFO - fetched 20 relevant articles for Australia after filtering
2025-11-16 14:02:52,660 - INFO - ✓ completed Australia 2014 (73 articles)
2025-11-16 14:02:52,660 - INFO - using guardian api for Australia 2015
2025-11-16 14:02:52,661 - INFO - using guardian api key: ea1edef5...
2025-11-16 14:02:52,661 - INFO - fetching guardian page 1 for Australia (2015-01-01 to 2015-03-31)
2025-11-16 14:02:54,352 - INFO - fetching guardian page 2 for Australia (2015-01-01 to 2015-03-31)
2025-11-16 14:02:56,052 - INFO - fetching guardian page 3 for Australia (2015-01-01 to 2015-03-31)
2025-11-16 14:02:56,632 - INFO - fetched 19 relevant articles for Australia after filtering
