/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 13:18:56,160 - INFO - processing 19 countries: ['Angola', 'Australia', 'Brazil', 'Canada', 'Denmark', 'Germany', 'India', 'Iraq', 'Malaysia', 'Mozambique', 'New Zealand', 'Norway', 'Philippines', 'Singapore', 'South Africa', 'Switzerland', 'Ukraine', 'Venezuela', 'Zimbabwe']
2025-11-16 13:18:56,160 - INFO - year range: 2010 to 2016
2025-11-16 13:18:56,160 - INFO - keywords: ['corruption', 'bribery', '"money laundering"', 'fraud', 'embezzlement', 'scandal']
2025-11-16 13:18:56,160 - INFO - fetching news articles...
2025-11-16 13:18:56,160 - INFO - skipping Angola 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Angola 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Angola 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Angola 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Angola 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Angola 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Angola 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Australia 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Australia 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Australia 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Australia 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Australia 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Australia 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Australia 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Brazil 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Brazil 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Brazil 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Brazil 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Brazil 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Brazil 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Brazil 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Canada 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Canada 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Canada 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Canada 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Canada 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Canada 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Canada 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Denmark 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Denmark 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Denmark 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Denmark 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Denmark 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Denmark 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Denmark 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Germany 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Germany 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Germany 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Germany 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Germany 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Germany 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Germany 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping India 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping India 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping India 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping India 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping India 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping India 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping India 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Iraq 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Iraq 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Iraq 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Iraq 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Iraq 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Iraq 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Iraq 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Malaysia 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Malaysia 2011 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Malaysia 2012 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Malaysia 2013 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Malaysia 2014 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Malaysia 2015 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Malaysia 2016 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Mozambique 2010 (already fetched)
2025-11-16 13:18:56,160 - INFO - skipping Mozambique 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Mozambique 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Mozambique 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Mozambique 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Mozambique 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Mozambique 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping New Zealand 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping New Zealand 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping New Zealand 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping New Zealand 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping New Zealand 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping New Zealand 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping New Zealand 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Norway 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Norway 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Norway 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Norway 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Norway 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Norway 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Norway 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Philippines 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Philippines 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Philippines 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Philippines 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Philippines 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Philippines 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Philippines 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Singapore 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Singapore 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Singapore 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Singapore 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Singapore 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Singapore 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Singapore 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping South Africa 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping South Africa 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping South Africa 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping South Africa 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping South Africa 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping South Africa 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping South Africa 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Switzerland 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Switzerland 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Switzerland 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Switzerland 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Switzerland 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Switzerland 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Switzerland 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Ukraine 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Ukraine 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Ukraine 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Ukraine 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Ukraine 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Ukraine 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Ukraine 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Venezuela 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Venezuela 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Venezuela 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Venezuela 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Venezuela 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Venezuela 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Venezuela 2016 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Zimbabwe 2010 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Zimbabwe 2011 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Zimbabwe 2012 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Zimbabwe 2013 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Zimbabwe 2014 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Zimbabwe 2015 (already fetched)
2025-11-16 13:18:56,161 - INFO - skipping Zimbabwe 2016 (already fetched)
2025-11-16 13:18:56,161 - WARNING - no articles fetched
/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 13:19:26,632 - INFO - processing 19 countries: ['Angola', 'Australia', 'Brazil', 'Canada', 'Denmark', 'Germany', 'India', 'Iraq', 'Malaysia', 'Mozambique', 'New Zealand', 'Norway', 'Philippines', 'Singapore', 'South Africa', 'Switzerland', 'Ukraine', 'Venezuela', 'Zimbabwe']
2025-11-16 13:19:26,632 - INFO - year range: 2010 to 2016
2025-11-16 13:19:26,632 - INFO - keywords: ['corruption', 'bribery', '"money laundering"', 'fraud', 'embezzlement', 'scandal']
2025-11-16 13:19:26,632 - INFO - overwriting existing raw data...
2025-11-16 13:19:26,633 - INFO - fetching news articles...
2025-11-16 13:19:26,633 - INFO - using guardian api for Angola 2010
2025-11-16 13:19:26,633 - INFO - using guardian api key: 93c1ada7...
2025-11-16 13:19:26,633 - INFO - fetching guardian page 1 for Angola (2010-01-01 to 2010-03-31)
2025-11-16 13:19:27,315 - INFO - fetched 2 relevant articles for Angola after filtering
2025-11-16 13:19:28,421 - INFO - fetching guardian page 1 for Angola (2010-04-01 to 2010-06-30)
2025-11-16 13:19:28,891 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 13:19:29,996 - INFO - fetching guardian page 1 for Angola (2010-07-01 to 2010-09-30)
2025-11-16 13:19:30,482 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 13:19:31,584 - INFO - fetching guardian page 1 for Angola (2010-10-01 to 2010-12-31)
2025-11-16 13:19:32,174 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 13:19:33,282 - INFO - ✓ completed Angola 2010 (3 articles)
2025-11-16 13:19:33,283 - INFO - using guardian api for Angola 2011
2025-11-16 13:19:33,283 - INFO - using guardian api key: 93c1ada7...
2025-11-16 13:19:33,283 - INFO - fetching guardian page 1 for Angola (2011-01-01 to 2011-03-31)
2025-11-16 13:19:33,858 - INFO - fetched 1 relevant articles for Angola after filtering
2025-11-16 13:19:34,962 - INFO - fetching guardian page 1 for Angola (2011-04-01 to 2011-06-30)
2025-11-16 13:19:35,576 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 13:19:36,682 - INFO - fetching guardian page 1 for Angola (2011-07-01 to 2011-09-30)
2025-11-16 13:19:37,167 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 13:19:38,272 - INFO - fetching guardian page 1 for Angola (2011-10-01 to 2011-12-31)
2025-11-16 13:19:38,867 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 13:19:39,974 - INFO - ✓ completed Angola 2011 (1 articles)
2025-11-16 13:19:39,974 - INFO - using guardian api for Angola 2012
2025-11-16 13:19:39,974 - INFO - using guardian api key: 93c1ada7...
2025-11-16 13:19:39,974 - INFO - fetching guardian page 1 for Angola (2012-01-01 to 2012-03-31)
2025-11-16 13:19:40,536 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 13:19:41,645 - INFO - fetching guardian page 1 for Angola (2012-04-01 to 2012-06-30)
2025-11-16 13:19:42,114 - INFO - fetched 0 relevant articles for Angola after filtering
2025-11-16 13:19:43,220 - INFO - fetching guardian page 1 for Angola (2012-07-01 to 2012-09-30)
2025-11-16 13:19:43,687 - INFO - fetched 0 relevant articles for Angola after filtering
